stratum_code,au_id,si_class,bec_group,species_combo,stand_count,area_ha,mean_si,median_si,min_si,max_si,si_low_threshold_p35,si_high_threshold_p65,selected_top_90_stratum
CWHVM_CW_FDC,cwhvm_cw_fdc_m,M,CWHvm,CW_FDC,2,24.592976,24.0,24.0,24.0,24.0,23.0,24.0,False
CWHVM_CW_PW,cwhvm_cw_pw_l,L,CWHvm,CW_PW,1,24.173186,23.0,23.0,23.0,23.0,23.0,23.0,False
CWHVH_HW_DR,cwhvh_hw_dr_m,M,CWHvh,HW_DR,7,24.096388,18.428572,19.0,17.0,19.0,15.0,19.0,False
CWHVM_FDC_SS,cwhvm_fdc_ss_h,H,CWHvm,FDC_SS,1,23.57114,32.0,32.0,32.0,32.0,26.8,29.2,False
CWHVM_DR_SS,cwhvm_dr_ss_h,H,CWHvm,DR_SS,8,23.554649,33.375,33.5,28.0,38.0,23.0,27.0,False
CWHVH_CW_SS,cwhvh_cw_ss_h,H,CWHvh,CW_SS,5,23.431873,22.6,24.0,17.0,28.0,16.0,16.45,False
MHMM_HW_YC,mhmm_hw_yc_m,M,MHmm,HW_YC,4,22.953551,13.0,13.0,13.0,13.0,12.0,23.45,False
CWHVM_CW_PLC,cwhvm_cw_plc_h,H,CWHvm,CW_PLC,2,22.941417,23.0,23.0,23.0,23.0,19.0,19.0,False
MHMM_HM_BA,mhmm_hm_ba_h,H,MHmm,HM_BA,2,22.910257,21.0,21.0,20.0,22.0,11.2,16.0,False
CWHVM_FDC_PW,cwhvm_fdc_pw_l,L,CWHvm,FDC_PW,1,22.808609,36.0,36.0,36.0,36.0,36.0,36.0,False
CWHVH_DR_HW,cwhvh_dr_hw_l,L,CWHvh,DR_HW,6,22.776487,20.833334,21.5,16.0,23.0,23.95,28.1,False
CWHVM_PLI_SX,cwhvm_pli_sx_m,M,CWHvm,PLI_SX,2,22.381265,18.0,18.0,18.0,18.0,17.25,18.25,False
CWHVM_HW_FDI,cwhvm_hw_fdi_l,L,CWHvm,HW_FDI,1,20.651509,29.0,29.0,29.0,29.0,29.0,29.0,False
MHMM_CW_HW,mhmm_cw_hw_l,L,MHmm,CW_HW,4,19.72763,11.0,12.5,6.0,13.0,13.0,14.0,False
CWHVH_CW_DR,cwhvh_cw_dr_l,L,CWHvh,CW_DR,2,19.695209,16.5,16.5,16.0,17.0,17.8,20.2,False
CWHVH_SS_CW,cwhvh_ss_cw_m,M,CWHvh,SS_CW,2,19.546775,19.0,19.0,18.0,20.0,17.75,21.75,False
CWHVM_SS_FDC,cwhvm_ss_fdc_l,L,CWHvm,SS_FDC,1,19.296924,31.0,31.0,31.0,31.0,31.0,31.0,False
MHMM_HM_BA,mhmm_hm_ba_l,L,MHmm,HM_BA,3,18.697052,7.666666,8.0,7.0,8.0,11.2,16.0,False
CWHVM_SS_DR,cwhvm_ss_dr_m,M,CWHvm,SS_DR,4,18.01144,32.25,32.5,31.0,33.0,30.25,33.75,False
CWHVM_SS_DR,cwhvm_ss_dr_h,H,CWHvm,SS_DR,6,17.980361,34.833332,35.0,34.0,36.0,30.25,33.75,False
CWHVM_PL_YC,cwhvm_pl_yc_l,L,CWHvm,PL_YC,1,17.898366,4.0,4.0,4.0,4.0,4.0,4.0,False
CWHVM_YC,cwhvm_yc_h,H,CWHvm,YC,4,17.397643,20.75,20.0,20.0,23.0,7.95,18.0,False
CWHVM_HM_BA,cwhvm_hm_ba_m,M,CWHvm,HM_BA,6,17.165388,7.666666,8.0,7.0,8.0,6.35,8.65,False
CWHVH_SS_CW,cwhvh_ss_cw_h,H,CWHvh,SS_CW,2,16.803094,31.5,31.5,27.0,36.0,17.75,21.75,False
CWHVM_DR_FD,cwhvm_dr_fd_l,L,CWHvm,DR_FD,1,16.661973,19.0,19.0,19.0,19.0,19.0,19.0,False
CWHVM_SX_FDI,cwhvm_sx_fdi_l,L,CWHvm,SX_FDI,1,16.5283,26.0,26.0,26.0,26.0,26.0,26.0,False
